anum,name,true_class,final_lambda,discovery_frac,stabilisation_frac,provisional_span,n_revisions,n_structural_revisions,total_variation,post_disc_variation,max_abs_rho,min_rho,frac_zero_rho,found_structure
A000984,central binomial,PREC,0.013263855992420654,0.20588235294117646,0.20588235294117646,0.0,1,0,1.4090909090909092,0.0,1.4090909090909092,-1.4090909090909092,0.9642857142857143,1
A000166,derangements,PREC,0.009903874162540053,0.29411764705882354,0.29411764705882354,0.0,1,0,5.083333333333334,0.0,2.0833333333333335,-2.0833333333333335,0.8571428571428571,1
A001006,Motzkin,PREC,0.031018206338503034,0.29411764705882354,0.29411764705882354,0.0,1,0,5.15,0.0,2.15,-2.15,0.8571428571428571,1
A005043,Riordan,PREC,0.03076923076923077,0.29411764705882354,0.29411764705882354,0.0,1,0,4.6875,0.0,1.6875,-1.6875,0.8571428571428571,1
A000085,involutions,PREC,0.016957605985037406,0.29411764705882354,0.29411764705882354,0.0,1,0,5.458333333333334,0.0,2.4583333333333335,-2.4583333333333335,0.8571428571428571,1
A001147,double factorial !!,PREC,0.005375139977603583,0.20588235294117646,0.20588235294117646,0.0,1,0,1.3,0.0,1.3,-1.3,0.9642857142857143,1
A000255,permutations A000255,PREC,0.00974817221770918,0.29411764705882354,0.29411764705882354,0.0,1,0,5.690476190476191,0.0,2.6904761904761907,-2.6904761904761907,0.8571428571428571,1
A002720,A002720,PREC,0.011372064276885044,0.38235294117647056,0.38235294117647056,0.0,1,0,10.180555555555555,0.0,4.180555555555555,-4.180555555555555,0.75,1
A000165,2^n n!,PREC,0.005173528777753826,0.20588235294117646,0.20588235294117646,0.0,1,0,1.5,0.0,1.5,-1.5,0.9642857142857143,1
A001813,(2n)!/n!,PREC,0.004658663321985307,0.20588235294117646,0.20588235294117646,0.0,1,0,1.4523809523809523,0.0,1.4523809523809523,-1.4523809523809523,0.9642857142857143,1
A001764,"binom(3n,n)/(2n+1)",PREC,0.021268515001898976,0.2647058823529412,0.2647058823529412,0.0,1,0,3.59375,0.0,1.59375,-1.59375,0.8928571428571429,1
A000407,(2n+1)!/n!,PREC,0.0047481770391724605,0.20588235294117646,0.20588235294117646,0.0,1,0,1.7,0.0,1.7,-1.7,0.9642857142857143,1
A006882,n!!,PREC,0.017269293038316244,0.29411764705882354,0.29411764705882354,0.0,1,0,5.75,0.0,2.75,-2.75,0.8571428571428571,1
A000040,primes,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A000041,partitions p(n),NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A000009,distinct partitions,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A000110,Bell,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A000670,Fubini / ordered Bell,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A000005,number of divisors,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A000010,Euler phi,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A000203,sigma,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A002110,primorial,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A000720,pi(n),NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A005132,Recaman,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A000002,Kolakoski,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A006577,Collatz steps,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A005185,Hofstadter Q,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
A004001,Hofstadter-Conway,NONH,1.0,1.0,0.17647058823529413,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0
