anum,name,true_class,strict_leading,n_d,n_id,order,degree,L_H,n_singular,full_fit,n_revisions,n_struct_rev,final_lambda,growth
A000009,distinct partitions,NONH,0,,,,,,,False,0,0,1.0,3.463284595170553
A000110,Bell,NONH,0,,,,,,,False,0,0,1.0,26.428513857729904
A000670,Fubini / ordered Bell,NONH,0,,,,,,,False,0,0,1.0,41.13466853439074
A000005,number of divisors,NONH,0,,,,,,,False,0,0,1.0,1.4869512307417936
A000010,Euler phi,NONH,0,,,,,,,False,0,0,1.0,2.216458072104559
A000203,sigma,NONH,0,,,,,,,False,0,0,1.0,3.103383509659976
A002110,primorial,NONH,0,,,,,,,False,0,0,1.0,51.38637939857556
A000720,pi(n),NONH,0,,,,,,,False,0,0,1.0,1.910781787057861
A005132,Recaman,NONH,0,,,,,,,False,0,0,1.0,2.878315210461395
A000002,Kolakoski,NONH,0,,,,,,,False,0,0,1.0,0.883954290257905
A006577,Collatz steps,NONH,0,,,,,,,False,0,0,1.0,2.470821601334429
A005185,Hofstadter Q,NONH,0,,,,,,,False,0,0,1.0,2.2546999495244178
A004001,Hofstadter-Conway,NONH,0,,,,,,,False,0,0,1.0,2.210960739242718
