anum,n_terms,found,class,order,degree,L_H,n_singular,error
A017851,51,False,genuine_spurious,,,,,
A017852,51,False,genuine_spurious,,,,,
A017853,51,False,genuine_spurious,,,,,
A017854,51,False,genuine_spurious,,,,,
A017855,50,False,genuine_spurious,,,,,
A017856,50,False,genuine_spurious,,,,,
A017857,71,False,genuine_spurious,,,,,
A017858,62,False,genuine_spurious,,,,,
A017859,58,False,genuine_spurious,,,,,
A017860,56,False,genuine_spurious,,,,,
A017861,54,False,genuine_spurious,,,,,
A017862,54,False,genuine_spurious,,,,,
A017863,54,False,genuine_spurious,,,,,
A017864,54,False,genuine_spurious,,,,,
A017865,53,False,genuine_spurious,,,,,
A017866,53,False,genuine_spurious,,,,,
A017867,74,False,genuine_spurious,,,,,
A017868,65,False,genuine_spurious,,,,,
A017869,60,False,genuine_spurious,,,,,
A017870,58,False,genuine_spurious,,,,,
A017871,57,False,genuine_spurious,,,,,
A017872,57,False,genuine_spurious,,,,,
A017873,56,False,genuine_spurious,,,,,
A017874,55,False,genuine_spurious,,,,,
A017875,54,False,genuine_spurious,,,,,
A017876,62,False,genuine_spurious,,,,,
A017877,76,False,genuine_spurious,,,,,
A017878,68,False,genuine_spurious,,,,,
A017879,63,False,genuine_spurious,,,,,
A017880,61,False,genuine_spurious,,,,,
A017881,60,False,genuine_spurious,,,,,
A017882,59,False,genuine_spurious,,,,,
A017883,58,False,genuine_spurious,,,,,
A017884,58,False,genuine_spurious,,,,,
A017885,57,False,genuine_spurious,,,,,
A017886,57,False,genuine_spurious,,,,,
A017887,78,False,genuine_spurious,,,,,
A017888,70,False,genuine_spurious,,,,,
A017889,65,False,genuine_spurious,,,,,
A017890,77,False,genuine_spurious,,,,,
A017891,75,False,genuine_spurious,,,,,
A017892,74,False,genuine_spurious,,,,,
A017893,74,False,genuine_spurious,,,,,
A017894,73,False,genuine_spurious,,,,,
A017895,72,False,genuine_spurious,,,,,
A017896,72,False,genuine_spurious,,,,,
A017901,58,False,genuine_spurious,,,,,
A017902,60,False,genuine_spurious,,,,,
A017903,62,False,genuine_spurious,,,,,
A017904,64,False,genuine_spurious,,,,,
A017905,65,False,genuine_spurious,,,,,
A017906,66,False,genuine_spurious,,,,,
A017907,68,False,genuine_spurious,,,,,
A017908,70,False,genuine_spurious,,,,,
A017983,44,False,genuine_spurious,,,,,
A017989,38,False,undetermined,,,,,
A018048,57,False,genuine_spurious,,,,,
A018052,42,False,genuine_spurious,,,,,
A018073,32,False,undetermined,,,,,
A018082,36,False,undetermined,,,,,
A018124,42,False,genuine_spurious,,,,,
A018237,35,False,undetermined,,,,,
A018252,65,False,genuine_spurious,,,,,
A018676,32,False,undetermined,,,,,
A018791,33,False,undetermined,,,,,
A018792,33,False,undetermined,,,,,
A018793,33,False,undetermined,,,,,
A018794,33,False,undetermined,,,,,
A018795,33,False,undetermined,,,,,
A018813,53,False,genuine_spurious,,,,,
A018814,55,False,genuine_spurious,,,,,
A018815,58,False,genuine_spurious,,,,,
A018816,60,False,genuine_spurious,,,,,
A018817,61,False,genuine_spurious,,,,,
A018885,38,False,undetermined,,,,,
A018896,36,False,undetermined,,,,,
A019216,33,False,undetermined,,,,,
A019500,34,False,undetermined,,,,,
A019501,33,False,undetermined,,,,,
A019529,57,False,genuine_spurious,,,,,
A020483,103,False,genuine_spurious,,,,,
A020485,62,False,genuine_spurious,,,,,
A020656,71,False,genuine_spurious,,,,,
A020661,75,False,genuine_spurious,,,,,
A020662,74,False,genuine_spurious,,,,,
A020663,75,False,genuine_spurious,,,,,
A020664,75,False,genuine_spurious,,,,,
A020731,70,False,genuine_spurious,,,,,
A020740,64,False,genuine_spurious,,,,,
A020884,73,False,genuine_spurious,,,,,
A020891,73,False,genuine_spurious,,,,,
A020892,75,False,genuine_spurious,,,,,
A021013,35,False,undetermined,,,,,
A021085,99,False,genuine_spurious,,,,,
A021102,99,False,genuine_spurious,,,,,
A021123,99,False,genuine_spurious,,,,,
A021125,99,False,genuine_spurious,,,,,
A021146,99,False,genuine_spurious,,,,,
A021246,99,False,genuine_spurious,,,,,
A021247,99,False,genuine_spurious,,,,,
A021475,99,False,genuine_spurious,,,,,
A021877,99,False,genuine_spurious,,,,,
A021888,99,False,genuine_spurious,,,,,
A021895,99,False,genuine_spurious,,,,,
A021912,99,False,genuine_spurious,,,,,
A021992,99,False,genuine_spurious,,,,,
A021993,99,False,genuine_spurious,,,,,
A022001,99,False,genuine_spurious,,,,,
A022002,99,False,genuine_spurious,,,,,
A022070,52,False,genuine_spurious,,,,,
A022072,52,False,genuine_spurious,,,,,
A022074,52,False,genuine_spurious,,,,,
A022076,51,False,genuine_spurious,,,,,
A022078,49,False,genuine_spurious,,,,,
A022080,51,False,genuine_spurious,,,,,
A022082,49,False,genuine_spurious,,,,,
A022084,48,False,genuine_spurious,,,,,
A022158,59,False,genuine_spurious,,,,,
A022465,59,False,genuine_spurious,,,,,
A022486,48,False,genuine_spurious,,,,,
A022551,57,False,genuine_spurious,,,,,
A022556,74,False,genuine_spurious,,,,,
A022766,65,False,genuine_spurious,,,,,
A022772,67,False,genuine_spurious,,,,,
A022780,55,False,genuine_spurious,,,,,
A022787,44,False,genuine_spurious,,,,,
A022790,55,False,genuine_spurious,,,,,
A022804,57,False,genuine_spurious,,,,,
A022844,63,False,genuine_spurious,,,,,
A022847,66,False,genuine_spurious,,,,,
A022859,40,False,genuine_spurious,,,,,
A022860,40,False,genuine_spurious,,,,,
A022863,38,False,undetermined,,,,,
A022866,45,False,genuine_spurious,,,,,
A022877,46,False,genuine_spurious,,,,,
A022882,90,False,genuine_spurious,,,,,
A022896,49,False,genuine_spurious,,,,,
A022904,50,False,genuine_spurious,,,,,
A022920,49,False,genuine_spurious,,,,,
A022921,99,False,genuine_spurious,,,,,
A022927,99,False,genuine_spurious,,,,,
A022931,99,False,genuine_spurious,,,,,
A022932,121,False,genuine_spurious,,,,,
A022933,99,False,genuine_spurious,,,,,
A023032,35,False,undetermined,,,,,
A023033,32,False,undetermined,,,,,
A023034,31,False,undetermined,,,,,
A023052,38,False,undetermined,,,,,
A023106,33,False,undetermined,,,,,
A023125,78,False,genuine_spurious,,,,,
A023126,84,False,genuine_spurious,,,,,
A023358,63,False,genuine_spurious,,,,,
A023384,42,False,genuine_spurious,,,,,
A023388,47,False,genuine_spurious,,,,,
A023391,50,False,genuine_spurious,,,,,
A023392,53,False,genuine_spurious,,,,,
A023422,31,False,undetermined,,,,,
A023423,32,False,undetermined,,,,,
A023428,40,False,genuine_spurious,,,,,
A023429,40,False,genuine_spurious,,,,,
A023430,42,False,genuine_spurious,,,,,
A023437,36,False,undetermined,,,,,
A023438,41,False,genuine_spurious,,,,,
A023439,42,False,genuine_spurious,,,,,
A023440,36,False,undetermined,,,,,
A023441,36,False,undetermined,,,,,
A023442,36,False,undetermined,,,,,
A023584,99,False,genuine_spurious,,,,,
A023586,99,False,genuine_spurious,,,,,
A023591,99,False,genuine_spurious,,,,,
A023688,45,False,genuine_spurious,,,,,
A023689,45,False,genuine_spurious,,,,,
A023690,43,False,genuine_spurious,,,,,
A023691,37,False,undetermined,,,,,
A023697,36,False,undetermined,,,,,
A023698,36,False,undetermined,,,,,
A023702,45,False,genuine_spurious,,,,,
A023703,38,False,undetermined,,,,,
A023704,36,False,undetermined,,,,,
A023705,63,False,genuine_spurious,,,,,
A023716,45,False,genuine_spurious,,,,,
A023720,45,False,genuine_spurious,,,,,
A023736,40,False,genuine_spurious,,,,,
A023740,40,False,genuine_spurious,,,,,
A023749,65,False,genuine_spurious,,,,,
A023750,66,False,genuine_spurious,,,,,
A023751,66,False,genuine_spurious,,,,,
A023761,61,False,genuine_spurious,,,,,
A023762,60,False,genuine_spurious,,,,,
A023763,61,False,genuine_spurious,,,,,
A023764,63,False,genuine_spurious,,,,,
A023765,66,False,genuine_spurious,,,,,
A023766,66,False,genuine_spurious,,,,,
A023767,65,False,genuine_spurious,,,,,
A023768,64,False,genuine_spurious,,,,,
A023769,63,False,genuine_spurious,,,,,
A023770,62,False,genuine_spurious,,,,,
A023771,62,False,genuine_spurious,,,,,
A023776,64,False,genuine_spurious,,,,,
A023777,61,False,genuine_spurious,,,,,
A023778,61,False,genuine_spurious,,,,,
A023779,66,False,genuine_spurious,,,,,
A023788,63,False,genuine_spurious,,,,,
A023789,58,False,genuine_spurious,,,,,
A023790,61,False,genuine_spurious,,,,,
A023791,63,False,genuine_spurious,,,,,
A023792,64,False,genuine_spurious,,,,,
A023793,63,False,genuine_spurious,,,,,
A023794,62,False,genuine_spurious,,,,,
A023795,61,False,genuine_spurious,,,,,
A023796,61,False,genuine_spurious,,,,,
A023797,61,False,genuine_spurious,,,,,
A023802,68,False,genuine_spurious,,,,,
A023803,69,False,genuine_spurious,,,,,
A023804,69,False,genuine_spurious,,,,,
A023919,81,False,genuine_spurious,,,,,
A023921,75,False,genuine_spurious,,,,,
A023923,77,False,genuine_spurious,,,,,
A023924,56,False,genuine_spurious,,,,,
A023926,60,False,genuine_spurious,,,,,
A023928,58,False,genuine_spurious,,,,,
A023930,60,False,genuine_spurious,,,,,
A024153,100,False,genuine_spurious,,,,,
A024154,89,False,genuine_spurious,,,,,
A024155,100,False,genuine_spurious,,,,,
A024156,84,False,genuine_spurious,,,,,
A024157,100,False,genuine_spurious,,,,,
A024158,100,False,genuine_spurious,,,,,
A024159,99,False,genuine_spurious,,,,,
A024160,100,False,genuine_spurious,,,,,
A024161,91,False,genuine_spurious,,,,,
A024162,73,False,genuine_spurious,,,,,
A024165,89,False,genuine_spurious,,,,,
A024190,44,False,genuine_spurious,,,,,
A024316,90,False,genuine_spurious,,,,,
A024360,102,False,genuine_spurious,,,,,
A024390,51,True,truncation_artifact,5.0,3.0,312.0,2.0,
A024417,77,False,genuine_spurious,,,,,
A024506,31,False,undetermined,,,,,
A024536,52,False,genuine_spurious,,,,,
A024583,68,False,genuine_spurious,,,,,
A024632,54,False,genuine_spurious,,,,,
A024639,62,False,genuine_spurious,,,,,
A024640,58,False,genuine_spurious,,,,,
A024641,51,False,genuine_spurious,,,,,
